WeaponName,Game,Cost (Bolts),Upgrade Price,First Available (Story Completion ),,Completion,R1PreIndex,R2PreIndex,R3PreIndex,R1PostIndex,R2PostIndex,R3PostIndex
Bomb Glove,Ratchet & Clank,0,"20,000",0,,0,0 ,0,0,0.00,0.00,0.00
Pyrocitor,Ratchet & Clank,"2,500","30,000",5.56,,8,"2,500 ","20,000","22,500",100.00,100.00,100.00
Blaster,Ratchet & Clank,"2,500","20,000",11.11,,16,"5,000 ","20,000","88,500",200.00,100.00,393.33
Glove of Doom,Ratchet & Clank,"7,500","10,000",22.22,,24,"12,500 ","1,100,000","148,500",500.00,5500.00,660.00
Suck Cannon,Ratchet & Clank,0,"10,000",22.22,,32,"15,000 ","1,100,000","468,500",600.00,5500.00,2082.22
Taunter,Ratchet & Clank,"2,500",,27.78,,40,"167,500 ","1,165,000","643,500",6700.00,5825.00,2860.00
Mine Glove,Ratchet & Clank,"2,500","10,000",33.33,,48,"177,500 ","1,340,000","643,500",7100.00,6700.00,2860.00
RYNO,Ratchet & Clank,"150,000",,33.33,,56,"200,000 ","1,505,000","823,500",8000.00,7525.00,3660.00
Devastator,Ratchet & Clank,"10,000","60,000",44.44,,64,"207,500 ","1,505,000","823,500",8300.00,7525.00,3660.00
Visibomb Gun,Ratchet & Clank,"15,000",,50,,72,"215,000 ","3,105,000","823,500",8600.00,15525.00,3660.00
Walloper,Ratchet & Clank,"7,500",,55.56,,80,"255,000 ","3,105,000","823,500",10200.00,15525.00,3660.00
Decoy Glove,Ratchet & Clank,"7,500","10,000",61.11,,88,"255,000 ","3,105,000","1,023,500",10200.00,15525.00,4548.89
Drone Device,Ratchet & Clank,"7,500",,66.67,,96,"255,000 ","3,105,000","1,573,500",10200.00,15525.00,6993.33
Tesla Claw,Ratchet & Clank,"40,000","60,000",77.78,,100,"255,000 ","4,105,000","4,573,500",10200.00,20525.00,20326.67
Morph-o-Ray,Ratchet & Clank,0,"20,000",77.78,,,,,,,,
Lancer,Ratchet & Clank 2,0,,0,,,,,,,,
Gravity Bomb,Ratchet & Clank 2,0,,0,,,,,,,,
Chopper,Ratchet & Clank 2,"5,000",,4.76,,,,,,,,
Blitz Gun,Ratchet & Clank 2,"15,000",,4.76,,,,,,,,
Miniturret Glove,Ratchet & Clank 2,"25,000",,19.05,,,,,,,,
Pulse Rifle,Ratchet & Clank 2,"20,000",,19.05,,,,,,,,
Tesla Claw (GC),Ratchet & Clank 2,"8,000","80,000",23.81,,,,,,,,
Bomb Glove (GC),Ratchet & Clank 2,"1,000","1,000",23.81,,,,,,,,
Decoy Glove (GC),Ratchet & Clank 2,"5,000","50,000",23.81,,,,,,,,
Seeker Gun,Ratchet & Clank 2,"5,000",,23.81,,,,,,,,
RYNO II,Ratchet & Clank 2,"1,000,000",,23.81,,,,,,,,
Visibomb Gun (GC),Ratchet & Clank 2,"8,000","150,000",23.81,,,,,,,,
Walloper (GC),Ratchet & Clank 2,"8,000","8,000",23.81,,,,,,,,
Synthenoids,Ratchet & Clank 2,"65,000",,33.33,,,,,,,,
Lava Gun,Ratchet & Clank 2,"25,000",,42.86,,,,,,,,
Bouncer,Ratchet & Clank 2,"100,000",,42.86,,,,,,,,
Minirocket Tube,Ratchet & Clank 2,"50,000",,47.62,,,,,,,,
Spiderbot Glove,Ratchet & Clank 2,"15,000",,52.38,,,,,,,,
Plasma Coil,Ratchet & Clank 2,"150,000",,52.38,,,,,,,,
Sheepinator,Ratchet & Clank 2,0,,57.14,,,,,,,,
Shield Charger,Ratchet & Clank 2,"100,000",,71.43,,,,,,,,
Zodiac,Ratchet & Clank 2,"1,500,000",,71.43,,,,,,,,
Clank Zapper,Ratchet & Clank 2,"1,000,000",,100,,,,,,,,
Meteor Gun,Ratchet & Clank 2,,"200,000",,,,,,,,,
Heavy Lancer,Ratchet & Clank 2,,"350,000",,,,,,,,,
Multi-Star,Ratchet & Clank 2,,"150,000",,,,,,,,,
Blitz Cannon,Ratchet & Clank 2,,"375,000",,,,,,,,,
Megaturret Glove,Ratchet & Clank 2,,"550,000",,,,,,,,,
HK-22 Gun,Ratchet & Clank 2,,"200,000",,,,,,,,,
Megarocket Cannon,Ratchet & Clank 2,,"450,000",,,,,,,,,
Mini-Nuke,Ratchet & Clank 2,,"1,500,000",,,,,,,,,
Tankbot Glove,Ratchet & Clank 2,,"375,000",,,,,,,,,
Vaporizer,Ratchet & Clank 2,,"400,000",,,,,,,,,
Hoverbomb Gun,Ratchet & Clank 2,"120,000",,,,,,,,,,
Tetrabomb Gun,Ratchet & Clank 2,,"1,250,000",,,,,,,,,
Plasma Storm,Ratchet & Clank 2,,"750,000",,,,,,,,,
Heavy Bouncer,Ratchet & Clank 2,,"350,000",,,,,,,,,
Tesla Barrier,Ratchet & Clank 2,,"250,000",,,,,,,,,
Kilonoids,Ratchet & Clank 2,,"450,000",,,,,,,,,
Clank Shocker,Ratchet & Clank 2,,,,,,,,,,,
Black Sheepinator,Ratchet & Clank 2,0,,,,,,,,,,
Shock Blaster,Ratchet & Clank 3,0,,,,,,,,,,
Nitro Launcher,Ratchet & Clank 3,0,,,,,,,,,,
N60 Storm,Ratchet & Clank 3,"15,000",,5,,,,,,,,
Plasma Whip,Ratchet & Clank 3,"7,500",,5,,,,,,,,
Infector,Ratchet & Clank 3,"18,000",,10,,,,,,,,
Suck Cannon (UYA),Ratchet & Clank 3,"8,000",,10,,,,,,,,
Spitting Hydra,Ratchet & Clank 3,"40,000",,15,,,,,,,,
Agents/Glove of Doom (UYA),Ratchet & Clank 3,"60,000",,20,,,,,,,,
Lava Gun (UYA),Ratchet & Clank 3,"40,000",,25,,,,,,,,
Miniturret Glove (UYA),Ratchet & Clank 3,"25,000",,25,,,,,,,,
Flux Rifle,Ratchet & Clank 3,"75,000",,25,,,,,,,,
Holoshield Glove,Ratchet & Clank 3,"30,000",,30,,,,,,,,
Annihilator,Ratchet & Clank 3,"150,000",,30,,,,,,,,
